sexo,tipo_renta,centil_padres,promedio,centil_hijo,centil_hijo_loess,n
total,individual,1,mediana,43.0,41.853661493600285,16753
total,individual,1,media,44.49931355578106,43.89588278850103,16753
total,individual,2,mediana,42.0,41.87206313000295,16740
total,individual,2,media,44.00232974910394,43.93254281208358,16740
total,individual,3,mediana,41.0,41.90396807444398,16751
total,individual,3,media,43.51746164408095,43.97618657782058,16751
total,individual,4,mediana,41.0,41.95153454117582,16757
total,individual,4,media,43.50999582264129,44.02784558879495,16757
total,individual,5,mediana,42.0,42.01434147181365,16751
total,individual,5,media,44.124529878813206,44.087281379951136,16751
total,individual,6,mediana,42.0,42.09053426213173,16761
total,individual,6,media,43.90227313406121,44.15359690424658,16761
total,individual,7,mediana,42.0,42.18012080762122,16729
total,individual,7,media,44.4131747265228,44.2268357917837,16729
total,individual,8,mediana,43.0,42.28729101264851,16730
total,individual,8,media,44.52414823670054,44.30894190669359,16730
total,individual,9,mediana,42.0,42.41383737395759,16742
total,individual,9,media,44.36291960339266,44.40072431404429,16742
total,individual,10,mediana,43.0,42.55617167560592,16736
total,individual,10,media,44.4741276290631,44.50052444534363,16736
total,individual,11,mediana,42.0,42.71070570165096,16735
total,individual,11,media,44.31729907379743,44.60668373209941,16735
total,individual,12,mediana,43.0,42.87385123615016,16741
total,individual,12,media,44.77910519084882,44.717543605819465,16741
total,individual,13,mediana,44.0,43.04202006316096,16736
total,individual,13,media,45.17817877629063,44.83144549801159,16736
total,individual,14,mediana,43.0,43.22042488236886,16739
total,individual,14,media,45.04086265607265,44.94937941859796,16739
total,individual,15,mediana,43.0,43.41325782640426,16742
total,individual,15,media,44.94289810058535,45.07272139793152,16742
total,individual,16,mediana,43.0,43.6153998287421,16742
total,individual,16,media,45.099988053995936,45.20039189816638,16742
total,individual,17,mediana,44.0,43.82173182285727,16728
total,individual,17,media,45.30703012912482,45.331311381456565,16728
total,individual,18,mediana,44.0,44.02713474222468,16748
total,individual,18,media,45.40560066873657,45.46440030995616,16748
total,individual,19,mediana,44.0,44.226489520319234,16748
total,individual,19,media,45.51032959159303,45.59857914581922,16748
total,individual,20,mediana,45.0,44.4310879004121,16741
total,individual,20,media,45.63640164864704,45.740897318164194,16741
total,individual,21,mediana,45.0,44.65019035877298,16741
total,individual,21,media,46.3007586165701,45.89496588559848,16741
total,individual,22,mediana,45.0,44.87563092837458,16739
total,individual,22,media,46.078081127904895,46.05454775450957,16739
total,individual,23,mediana,45.0,45.09924364218964,16753
total,individual,23,media,46.10338446845341,46.21340583128501,16753
total,individual,24,mediana,45.0,45.31286253319086,16740
total,individual,24,media,46.32126642771805,46.3653030223123,16740
total,individual,25,mediana,45.0,45.50832163435096,16744
total,individual,25,media,46.01463210702341,46.50400223397893,16744
total,individual,26,mediana,46.0,45.683410105406686,16747
total,individual,26,media,46.680838359109096,46.62907125184595,16747
total,individual,27,mediana,46.0,45.845391078742594,16750
total,individual,27,media,47.20435820895523,46.74703346367578,16750
total,individual,28,mediana,46.0,46.00030954630318,16747
total,individual,28,media,47.00573236997671,46.86208517915808,16747
total,individual,29,mediana,46.0,46.15421050003291,16753
