centil,renta
1,0.9787573407462584
2,2.863277069663013
3,393.6482725710865
4,999.4122701118184
5,1352.2422249323
6,1999.5882265824027
7,2501.243939854684
8,3000.325592861768
9,3621.560154819752
10,4000.4735716516416
11,4572.802420490995
12,4999.180719240316
13,5069.478120049052
14,5997.382747357516
15,6001.561865464705
16,6683.140080730699
17,6999.81807534926
18,7180.376546098175
19,7997.350242064761
20,8000.825965503149
21,8320.206930530983
22,8997.728164511722
23,9001.038244121579
24,9355.162887046748
25,9997.893542903174
26,10001.159016614176
27,10344.152001424694
28,10997.574146176788
29,11000.67510338066
30,11167.83874928469
31,11996.855281878012
32,11999.661856647312
33,12002.495633339162
34,12608.584044538344
35,12998.02503788686
36,13000.7401122295
37,13003.441001691945
38,13905.084188733172
39,13998.81492724055
40,14001.510943847064
41,14176.91777190524
42,14996.870353392169
43,14999.56097555137
44,15002.258210728856
45,15493.98494531586
46,15997.641790306743
47,16000.31807414472
48,16003.013378414847
49,16755.231108648455
50,16998.33511454002
51,17000.943759571026
52,17003.570093376777
53,17955.245353337763
54,17999.042807410988
55,18001.73467521695
56,18308.148854546587
57,18997.427220520996
58,19000.47187505641
59,19031.825746878643
60,19996.70488488446
61,19999.91750998856
62,20003.18866358351
63,20946.01026256864
64,21000.033591238545
65,21109.35506913014
66,21997.462830042263
67,22001.458451588805
68,22600.386719551407
69,22999.792905578404
70,23292.003829470206
71,23998.46336829546
72,24036.191958351385
73,24997.750432995912
74,25066.087269916592
75,25997.857464815894
76,26111.43910977269
77,26998.382861312533
78,27341.58881707181
79,27999.385100457093
80,28398.894152729776
81,28999.836763700707
82,29510.13361829476
83,30000.49843891572
84,30658.62351195905
85,31001.63866420935
86,31941.89845131469
87,32385.326581070025
88,33125.18454383827
89,34053.93358870267
90,35057.77853458399
91,36186.97911905008
92,37413.22817393538
93,38816.52521503448
94,39999.037237484736
95,43039.8290662806
96,45001.62590528272
97,52545.58663335003
98,59998.55484355359
99,60649.73516265164
100,114022.583153615
1,0.9153722444803046
2,2.671422387730575
3,201.9525696253392
4,997.9316658154894
5,1002.2492902886748
6,1875.3611097386167
7,2001.5640528866736
8,2793.7618927659387
9,3001.326384351102
10,3720.154076620995
11,4000.545106812793
12,4506.727697106308
13,4998.75334132627
14,5002.531738382547
15,5850.463299612631
16,6000.351302370168
17,6283.011960896783
18,6997.880091398974
19,7001.647444999357
20,7609.442504212796
21,7998.669601231379
22,8002.011762698571
23,8543.617213366082
24,8998.304705042245
25,9001.553056465355
26,9441.13338986681
27,9997.972058118325
28,10001.04757593962
29,10207.227039834985
30,10997.0755124335
31,11000.021653364778
32,11002.952555900536
33,11800.173618326442
34,11998.34048348206
35,12000.978002941722
36,12003.518948677056
37,12933.691149567636
38,12998.619418224163
39,13001.144756884683
40,13003.708257385222
41,13983.033450972838
42,13998.726904805231
43,14001.278463930252
44,14012.1833596568
45,14996.294859740708
46,14998.829967660176
47,15001.330817600405
48,15003.73890412377
49,15988.21656508548
50,15998.782972240995
51,16001.39006690386
52,16086.90443986572
53,16996.46185091194
54,16998.933302714955
55,17001.412950442747
56,17055.949632383712
57,17996.477529969154
58,17998.99698727112
59,18001.616732276314
60,18177.85900494049
61,18997.02052525008
62,18999.968488520182
63,19002.88416444132
64,19764.864195661976
65,19999.21279359734
66,20002.441281515607
67,20709.59791312922
68,20999.21828909004
69,21002.843848662556
70,21912.71448091457
71,22000.902745281423
72,22497.83243217963
73,22999.554250431007
74,23292.4914792695
75,23998.56174965171
76,24099.83136580764
77,24998.10685003204
78,25186.488000796147
79,25998.795074236503
80,26363.335938141197
81,26999.93978114816
82,27604.582807882427
83,28001.288348825547
84,28847.4817336638
85,29154.22082577265
86,29998.888081717847
87,30492.44544406461
88,31001.65585144404
89,31982.381533196734
90,32688.96134969708
91,33658.16817816459
92,34731.398271069
93,36109.60136225337
94,37552.42959187506
95,39472.53313663752
96,41339.31787898069
97,45000.64525228558
98,54186.27614171353
99,60000.5838680668
100,99184.92817354016
1,0.8366151167852602
2,2.570750525120141
3,107.41041986191284
4,997.36900062467
5,1001.2532092082458
6,1539.215874404037
7,1999.366275618712
8,2215.5308818157546
9,2998.041705795205
10,3002.2547771059694
11,3851.669628057969
12,4000.493852735078
13,4394.739903097974
14,4998.157103069032
15,5001.561736401473
16,5493.763140641837
17,5998.4696936680975
18,6002.061240518752
19,6653.897507845277
20,6998.882179865711
21,7002.154624274803
22,7637.694557929538
23,7998.353618853252
24,8001.441703724204
25,8336.363252280382
26,8997.407376713727
27,9000.246044756139
28,9003.179877730641
29,9882.817142667504
30,9998.8539167157
31,10001.644668215273
32,10305.484852760324
33,10997.095323926713
34,10999.70887771245
35,11002.364781428112
36,11512.392652425302
37,11997.402264769607
38,11999.764479511668
39,12002.243197988744
40,12373.490898374892
41,12997.148086170491
42,12999.571310540923
43,13001.971534022105
44,13275.362056452012
45,13996.810135038197
46,13999.223531431437
47,14001.628280944866
48,14108.170519922638
49,14996.428874437035
50,14998.820907852516
51,15001.17382248201
52,15003.512206556814
53,15886.17957533032
54,15998.400040211973
55,16000.878667980356
56,16003.241380689657
57,16740.44089126666
58,16997.878784700384
59,17000.254591605277
60,17002.606522553648
61,17461.512150408198
62,17997.473830930754
63,18000.030632614053
64,18002.607462002296
65,18569.62749445001
66,18998.17274319736
67,19001.12243546297
68,19178.27954553755
69,19997.24963764664
70,20000.48769458292
71,20120.682501600317
72,20997.38852279312
73,21001.13822133036
74,21456.9204342364
75,21999.031025103224
76,22148.14721948928
77,22998.088167018468
78,23045.2834323844
79,23997.68695099169
80,24035.17185698523
81,24997.94066954905
82,25220.7287797778
83,25999.31797799765
84,26592.35614875209
85,27023.40560233089
86,27998.355603967317
87,28447.45500202533
88,29028.342618790324
89,29998.723737719465
90,30606.77695071409
91,31367.426193024374
92,32332.09364742297
93,33479.65893767484
94,34915.23148448756
95,36638.37577688872
96,38872.47383621079
97,41325.52591096576
98,45976.56760228911
99,58270.66397854554
100,87008.04058541711
1,0.8127157592953361
2,2.4200373739784515
3,4.029733268165957
4,898.7456621910744
5,999.788374936
6,1003.2142812931768
7,1980.0704805218109
8,2000.55981526116
9,2279.2154225162817
10,2997.9858318606925
11,3001.727614468982
12,3653.892208040728
