centil,renta
1,761.439146490304
2,2779.575589978012
3,4042.843830505353
4,4999.356977413283
5,5776.423138809661
6,6166.765949730288
7,6998.255913866776
8,7187.637778481032
9,7997.68512828922
10,8001.693890546046
11,8675.205820853114
12,8998.626156979015
13,9001.734312921397
14,9454.280416746911
15,9997.599023727384
16,10000.299384668802
17,10003.014669873097
18,10731.629684344316
19,10998.027324263096
20,11000.415653057122
21,11002.770387485538
22,11539.404983644064
23,11997.41232531374
24,11999.802063691775
25,12002.16117321097
26,12321.761357952308
27,12997.06839792246
28,12999.589919087202
29,13002.030465580972
30,13296.212344420328
31,13997.11640307796
32,13999.81481553444
33,14002.498034630546
34,14587.02954614393
35,14998.14913914669
36,15000.967506718129
37,15109.759545393626
38,15996.873383260316
39,15999.88203277302
40,16002.897362038952
41,16805.203686444645
42,16999.091117979355
43,17002.167878692177
44,17564.852653456303
45,17998.290039573647
46,18001.35333166069
47,18322.32265678903
48,18997.89952875362
49,19001.31044526818
50,19401.64666817043
51,19998.195148912644
52,20001.7287031989
53,20600.05996970328
54,20999.530072424608
55,21114.46825759049
56,21997.32618518777
57,22001.303858905463
58,22554.744593020485
59,22999.33610284347
60,23141.48918904529
61,23997.748907822628
62,24002.09862001024
63,24857.408043714106
64,25001.3233855002
65,25729.65351083197
66,26001.109507325877
67,26717.824658276277
68,27001.711599006867
69,27878.024447054093
70,28211.955660497923
71,28999.535899253297
72,29624.974263546457
73,30136.082037210057
74,30999.644917063742
75,31773.19530178732
76,32471.14203715778
77,33318.28500700666
78,34158.43016338582
79,35101.52702162184
80,36064.08326340514
81,37088.28532824069
82,38176.13080243296
83,39318.614410355134
84,40000.813407284906
85,41346.654248795145
86,43737.432634635246
87,44999.18307189043
88,45806.94659958853
89,48199.82789189274
90,50240.75519522498
91,52714.76677298274
92,56403.3045666047
93,59801.55629548572
94,60001.44997278479
95,62283.93738996083
96,68870.94996288882
97,77336.79904719171
98,83512.01132211559
99,100851.13169402536
100,198519.03114820417
1,812.0544243813818
2,2746.917738215638
3,3999.981983891096
4,4941.603498642296
5,5624.558400328486
6,6001.706778734963
7,6969.208060995831
8,7002.091110123548
9,7877.050881648506
10,8000.325098103245
11,8211.30100790828
12,8997.061915478482
13,9000.00339186531
14,9002.926452059799
15,9770.617763755869
16,9998.214090396155
17,10000.720714328138
18,10003.209530668582
19,10774.142998883906
20,10997.900226790482
21,11000.115764556414
22,11002.377723374966
23,11330.333176529854
24,11996.804999518758
25,11998.996712661396
26,12001.272382723217
27,12003.512620608511
28,12817.970557581571
29,12998.110548350192
30,13000.544951386077
31,13002.956562242114
32,13653.768810639993
33,13997.967787925443
34,14000.587026042944
35,14003.22413848847
36,14824.865682612244
37,14998.684484917534
38,15001.601820544396
39,15271.60416372814
40,15997.331757979511
41,16000.353456430745
42,16003.383891514068
43,16949.147567997672
44,16999.445650071055
45,17002.590613666183
46,17717.974321975496
47,17998.661267679618
48,18001.72584819881
49,18464.659389224857
50,18998.196009500756
51,19001.603634240717
52,19499.62228556764
53,19998.61960728206
54,20002.24355629456
55,20700.10001420328
56,20999.73572894578
57,21177.584828138453
58,21997.64179542076
59,22001.516599991948
60,22646.48440499312
61,22999.859994791248
62,23280.216617133206
63,23998.424904522915
64,24002.717428939748
65,24972.72304612314
66,25001.855559479176
67,25812.70173228913
68,26001.866354919788
69,26897.83014343548
70,27130.719194164303
71,27998.813683648776
72,28459.31341275797
73,29001.265045735498
74,29915.20301396297
75,30485.03879253596
76,31144.807877449195
77,32000.31269597405
78,32925.074164938735
79,33778.915005971714
80,34676.047291125564
81,35651.00327130964
82,36681.69206297746
83,37765.34692216153
84,39015.64571446123
85,39999.668167045886
86,41202.980524808685
87,43598.63147628843
88,44999.2306055133
89,45919.79883550683
90,48524.52121077778
91,50501.34905750243
92,53520.31850213125
93,57673.33042202865
94,59998.49224554664
95,60508.31010856367
96,66057.55773719566
97,74581.23280604096
98,81691.16903058073
99,98127.6818701885
100,191919.7494266648
1,717.754399508498
2,2657.9455964790163
3,3889.3733840214704
4,4759.075032602895
5,5363.068016557206
6,5999.823349674053
7,6584.477099875368
8,6999.755024816345
9,7287.012770293345
10,7997.68252215511
11,8001.170617774358
12,8418.853237083942
13,8997.525706312705
14,9000.288507780913
15,9003.019792255762
16,9760.87762607669
